GRID,VERSION,ZONE,SHORTNAME,TILE,EXTENT,EASTINGLL,NORTHINGLL,COVERSLAND,wui_name
Equi7Grid,V14,Europe,E7G_EU,E034N013T1,100000,3400000,1300000,1,X0034_Y0085
Equi7Grid,V14,Europe,E7G_EU,E034N012T1,100000,3400000,1200000,1,X0034_Y0086
Equi7Grid,V14,Europe,E7G_EU,E034N011T1,100000,3400000,1100000,1,X0034_Y0087
Equi7Grid,V14,Europe,E7G_EU,E034N010T1,100000,3400000,1000000,1,X0034_Y0088
Equi7Grid,V14,Europe,E7G_EU,E034N009T1,100000,3400000,900000,1,X0034_Y0089
Equi7Grid,V14,Europe,E7G_EU,E034N008T1,100000,3400000,800000,1,X0034_Y0090
Equi7Grid,V14,Europe,E7G_EU,E034N007T1,100000,3400000,700000,1,X0034_Y0091
Equi7Grid,V14,Europe,E7G_EU,E035N025T1,100000,3500000,2500000,1,X0035_Y0073
Equi7Grid,V14,Europe,E7G_EU,E035N024T1,100000,3500000,2400000,1,X0035_Y0074
Equi7Grid,V14,Europe,E7G_EU,E035N015T1,100000,3500000,1500000,1,X0035_Y0083
Equi7Grid,V14,Europe,E7G_EU,E035N014T1,100000,3500000,1400000,1,X0035_Y0084
Equi7Grid,V14,Europe,E7G_EU,E035N013T1,100000,3500000,1300000,1,X0035_Y0085
Equi7Grid,V14,Europe,E7G_EU,E035N012T1,100000,3500000,1200000,1,X0035_Y0086
Equi7Grid,V14,Europe,E7G_EU,E035N011T1,100000,3500000,1100000,1,X0035_Y0087
Equi7Grid,V14,Europe,E7G_EU,E035N010T1,100000,3500000,1000000,1,X0035_Y0088
Equi7Grid,V14,Europe,E7G_EU,E035N009T1,100000,3500000,900000,1,X0035_Y0089
Equi7Grid,V14,Europe,E7G_EU,E035N008T1,100000,3500000,800000,1,X0035_Y0090
Equi7Grid,V14,Europe,E7G_EU,E035N007T1,100000,3500000,700000,1,X0035_Y0091
Equi7Grid,V14,Europe,E7G_EU,E036N032T1,100000,3600000,3200000,1,X0036_Y0066
Equi7Grid,V14,Europe,E7G_EU,E036N027T1,100000,3600000,2700000,1,X0036_Y0071
Equi7Grid,V14,Europe,E7G_EU,E036N026T1,100000,3600000,2600000,1,X0036_Y0072
Equi7Grid,V14,Europe,E7G_EU,E036N025T1,100000,3600000,2500000,1,X0036_Y0073
Equi7Grid,V14,Europe,E7G_EU,E036N024T1,100000,3600000,2400000,1,X0036_Y0074
Equi7Grid,V14,Europe,E7G_EU,E036N014T1,100000,3600000,1400000,1,X0036_Y0084
Equi7Grid,V14,Europe,E7G_EU,E036N013T1,100000,3600000,1300000,1,X0036_Y0085
Equi7Grid,V14,Europe,E7G_EU,E036N012T1,100000,3600000,1200000,1,X0036_Y0086
Equi7Grid,V14,Europe,E7G_EU,E036N011T1,100000,3600000,1100000,1,X0036_Y0087
Equi7Grid,V14,Europe,E7G_EU,E036N010T1,100000,3600000,1000000,1,X0036_Y0088
Equi7Grid,V14,Europe,E7G_EU,E036N009T1,100000,3600000,900000,1,X0036_Y0089
Equi7Grid,V14,Europe,E7G_EU,E036N008T1,100000,3600000,800000,1,X0036_Y0090
Equi7Grid,V14,Europe,E7G_EU,E036N007T1,100000,3600000,700000,1,X0036_Y0091
Equi7Grid,V14,Europe,E7G_EU,E037N043T1,100000,3700000,4300000,1,X0037_Y0055
Equi7Grid,V14,Europe,E7G_EU,E037N042T1,100000,3700000,4200000,1,X0037_Y0056
Equi7Grid,V14,Europe,E7G_EU,E037N041T1,100000,3700000,4100000,1,X0037_Y0057
Equi7Grid,V14,Europe,E7G_EU,E037N040T1,100000,3700000,4000000,1,X0037_Y0058
Equi7Grid,V14,Europe,E7G_EU,E037N039T1,100000,3700000,3900000,1,X0037_Y0059
Equi7Grid,V14,Europe,E7G_EU,E037N027T1,100000,3700000,2700000,1,X0037_Y0071
Equi7Grid,V14,Europe,E7G_EU,E037N026T1,100000,3700000,2600000,1,X0037_Y0072
Equi7Grid,V14,Europe,E7G_EU,E037N025T1,100000,3700000,2500000,1,X0037_Y0073
Equi7Grid,V14,Europe,E7G_EU,E037N024T1,100000,3700000,2400000,1,X0037_Y0074
Equi7Grid,V14,Europe,E7G_EU,E037N022T1,100000,3700000,2200000,1,X0037_Y0076
Equi7Grid,V14,Europe,E7G_EU,E037N020T1,100000,3700000,2000000,1,X0037_Y0078
Equi7Grid,V14,Europe,E7G_EU,E037N019T1,100000,3700000,1900000,1,X0037_Y0079
Equi7Grid,V14,Europe,E7G_EU,E037N014T1,100000,3700000,1400000,1,X0037_Y0084
Equi7Grid,V14,Europe,E7G_EU,E037N013T1,100000,3700000,1300000,1,X0037_Y0085
Equi7Grid,V14,Europe,E7G_EU,E037N012T1,100000,3700000,1200000,1,X0037_Y0086
Equi7Grid,V14,Europe,E7G_EU,E037N011T1,100000,3700000,1100000,1,X0037_Y0087
Equi7Grid,V14,Europe,E7G_EU,E037N010T1,100000,3700000,1000000,1,X0037_Y0088
Equi7Grid,V14,Europe,E7G_EU,E037N009T1,100000,3700000,900000,1,X0037_Y0089
Equi7Grid,V14,Europe,E7G_EU,E037N008T1,100000,3700000,800000,1,X0037_Y0090
Equi7Grid,V14,Europe,E7G_EU,E038N043T1,100000,3800000,4300000,1,X0038_Y0055
Equi7Grid,V14,Europe,E7G_EU,E038N042T1,100000,3800000,4200000,1,X0038_Y0056
Equi7Grid,V14,Europe,E7G_EU,E038N041T1,100000,3800000,4100000,1,X0038_Y0057
Equi7Grid,V14,Europe,E7G_EU,E038N040T1,100000,3800000,4000000,1,X0038_Y0058
Equi7Grid,V14,Europe,E7G_EU,E038N039T1,100000,3800000,3900000,1,X0038_Y0059
Equi7Grid,V14,Europe,E7G_EU,E038N028T1,100000,3800000,2800000,1,X0038_Y0070
Equi7Grid,V14,Europe,E7G_EU,E038N027T1,100000,3800000,2700000,1,X0038_Y0071
Equi7Grid,V14,Europe,E7G_EU,E038N026T1,100000,3800000,2600000,1,X0038_Y0072
Equi7Grid,V14,Europe,E7G_EU,E038N025T1,100000,3800000,2500000,1,X0038_Y0073
Equi7Grid,V14,Europe,E7G_EU,E038N024T1,100000,3800000,2400000,1,X0038_Y0074
Equi7Grid,V14,Europe,E7G_EU,E038N023T1,100000,3800000,2300000,1,X0038_Y0075
Equi7Grid,V14,Europe,E7G_EU,E038N022T1,100000,3800000,2200000,1,X0038_Y0076
Equi7Grid,V14,Europe,E7G_EU,E038N021T1,100000,3800000,2100000,1,X0038_Y0077
Equi7Grid,V14,Europe,E7G_EU,E038N020T1,100000,3800000,2000000,1,X0038_Y0078
Equi7Grid,V14,Europe,E7G_EU,E038N019T1,100000,3800000,1900000,1,X0038_Y0079
Equi7Grid,V14,Europe,E7G_EU,E038N018T1,100000,3800000,1800000,1,X0038_Y0080
Equi7Grid,V14,Europe,E7G_EU,E038N017T1,100000,3800000,1700000,1,X0038_Y0081
Equi7Grid,V14,Europe,E7G_EU,E038N016T1,100000,3800000,1600000,1,X0038_Y0082
Equi7Grid,V14,Europe,E7G_EU,E038N015T1,100000,3800000,1500000,1,X0038_Y0083
Equi7Grid,V14,Europe,E7G_EU,E038N014T1,100000,3800000,1400000,1,X0038_Y0084
Equi7Grid,V14,Europe,E7G_EU,E038N013T1,100000,3800000,1300000,1,X0038_Y0085
Equi7Grid,V14,Europe,E7G_EU,E038N012T1,100000,3800000,1200000,1,X0038_Y0086
Equi7Grid,V14,Europe,E7G_EU,E038N011T1,100000,3800000,1100000,1,X0038_Y0087
Equi7Grid,V14,Europe,E7G_EU,E038N010T1,100000,3800000,1000000,1,X0038_Y0088
Equi7Grid,V14,Europe,E7G_EU,E038N009T1,100000,3800000,900000,1,X0038_Y0089
Equi7Grid,V14,Europe,E7G_EU,E038N008T1,100000,3800000,800000,1,X0038_Y0090
Equi7Grid,V14,Europe,E7G_EU,E039N043T1,100000,3900000,4300000,1,X0039_Y0055
Equi7Grid,V14,Europe,E7G_EU,E039N042T1,100000,3900000,4200000,1,X0039_Y0056
Equi7Grid,V14,Europe,E7G_EU,E039N041T1,100000,3900000,4100000,1,X0039_Y0057
Equi7Grid,V14,Europe,E7G_EU,E039N040T1,100000,3900000,4000000,1,X0039_Y0058
Equi7Grid,V14,Europe,E7G_EU,E039N039T1,100000,3900000,3900000,1,X0039_Y0059
Equi7Grid,V14,Europe,E7G_EU,E039N031T1,100000,3900000,3100000,1,X0039_Y0067
Equi7Grid,V14,Europe,E7G_EU,E039N030T1,100000,3900000,3000000,1,X0039_Y0068
Equi7Grid,V14,Europe,E7G_EU,E039N029T1,100000,3900000,2900000,1,X0039_Y0069
Equi7Grid,V14,Europe,E7G_EU,E039N028T1,100000,3900000,2800000,1,X0039_Y0070
Equi7Grid,V14,Europe,E7G_EU,E039N027T1,100000,3900000,2700000,1,X0039_Y0071
Equi7Grid,V14,Europe,E7G_EU,E039N026T1,100000,3900000,2600000,1,X0039_Y0072
Equi7Grid,V14,Europe,E7G_EU,E039N025T1,100000,3900000,2500000,1,X0039_Y0073
Equi7Grid,V14,Europe,E7G_EU,E039N024T1,100000,3900000,2400000,1,X0039_Y0074
Equi7Grid,V14,Europe,E7G_EU,E039N023T1,100000,3900000,2300000,1,X0039_Y0075
Equi7Grid,V14,Europe,E7G_EU,E039N022T1,100000,3900000,2200000,1,X0039_Y0076
Equi7Grid,V14,Europe,E7G_EU,E039N021T1,100000,3900000,2100000,1,X0039_Y0077
