GRID,VERSION,ZONE,SHORTNAME,TILE,EXTENT,EASTINGLL,NORTHINGLL,COVERSLAND,wui_name
Equi7Grid,V14,Northamerica,E7G_NA,E046N069T1,100000,4600000,6900000,1,X0046_Y0029
Equi7Grid,V14,Northamerica,E7G_NA,E047N070T1,100000,4700000,7000000,1,X0047_Y0028
Equi7Grid,V14,Northamerica,E7G_NA,E047N069T1,100000,4700000,6900000,1,X0047_Y0029
Equi7Grid,V14,Northamerica,E7G_NA,E047N068T1,100000,4700000,6800000,1,X0047_Y0030
Equi7Grid,V14,Northamerica,E7G_NA,E048N070T1,100000,4800000,7000000,1,X0048_Y0028
Equi7Grid,V14,Northamerica,E7G_NA,E048N069T1,100000,4800000,6900000,1,X0048_Y0029
Equi7Grid,V14,Northamerica,E7G_NA,E048N068T1,100000,4800000,6800000,1,X0048_Y0030
Equi7Grid,V14,Northamerica,E7G_NA,E049N079T1,100000,4900000,7900000,1,X0049_Y0019
Equi7Grid,V14,Northamerica,E7G_NA,E049N078T1,100000,4900000,7800000,1,X0049_Y0020
Equi7Grid,V14,Northamerica,E7G_NA,E049N069T1,100000,4900000,6900000,1,X0049_Y0029
Equi7Grid,V14,Northamerica,E7G_NA,E049N068T1,100000,4900000,6800000,1,X0049_Y0030
Equi7Grid,V14,Northamerica,E7G_NA,E050N076T1,100000,5000000,7600000,1,X0050_Y0022
Equi7Grid,V14,Northamerica,E7G_NA,E050N075T1,100000,5000000,7500000,1,X0050_Y0023
Equi7Grid,V14,Northamerica,E7G_NA,E050N072T1,100000,5000000,7200000,1,X0050_Y0026
Equi7Grid,V14,Northamerica,E7G_NA,E050N071T1,100000,5000000,7100000,1,X0050_Y0027
Equi7Grid,V14,Northamerica,E7G_NA,E050N069T1,100000,5000000,6900000,1,X0050_Y0029
Equi7Grid,V14,Northamerica,E7G_NA,E050N068T1,100000,5000000,6800000,1,X0050_Y0030
Equi7Grid,V14,Northamerica,E7G_NA,E050N067T1,100000,5000000,6700000,1,X0050_Y0031
Equi7Grid,V14,Northamerica,E7G_NA,E051N075T1,100000,5100000,7500000,1,X0051_Y0023
Equi7Grid,V14,Northamerica,E7G_NA,E051N074T1,100000,5100000,7400000,1,X0051_Y0024
Equi7Grid,V14,Northamerica,E7G_NA,E051N073T1,100000,5100000,7300000,1,X0051_Y0025
Equi7Grid,V14,Northamerica,E7G_NA,E051N072T1,100000,5100000,7200000,1,X0051_Y0026
Equi7Grid,V14,Northamerica,E7G_NA,E051N071T1,100000,5100000,7100000,1,X0051_Y0027
Equi7Grid,V14,Northamerica,E7G_NA,E051N070T1,100000,5100000,7000000,1,X0051_Y0028
Equi7Grid,V14,Northamerica,E7G_NA,E051N069T1,100000,5100000,6900000,1,X0051_Y0029
Equi7Grid,V14,Northamerica,E7G_NA,E051N068T1,100000,5100000,6800000,1,X0051_Y0030
Equi7Grid,V14,Northamerica,E7G_NA,E051N067T1,100000,5100000,6700000,1,X0051_Y0031
Equi7Grid,V14,Northamerica,E7G_NA,E052N080T1,100000,5200000,8000000,1,X0052_Y0018
Equi7Grid,V14,Northamerica,E7G_NA,E052N079T1,100000,5200000,7900000,1,X0052_Y0019
Equi7Grid,V14,Northamerica,E7G_NA,E052N078T1,100000,5200000,7800000,1,X0052_Y0020
Equi7Grid,V14,Northamerica,E7G_NA,E052N076T1,100000,5200000,7600000,1,X0052_Y0022
Equi7Grid,V14,Northamerica,E7G_NA,E052N075T1,100000,5200000,7500000,1,X0052_Y0023
Equi7Grid,V14,Northamerica,E7G_NA,E052N074T1,100000,5200000,7400000,1,X0052_Y0024
Equi7Grid,V14,Northamerica,E7G_NA,E052N073T1,100000,5200000,7300000,1,X0052_Y0025
Equi7Grid,V14,Northamerica,E7G_NA,E052N072T1,100000,5200000,7200000,1,X0052_Y0026
Equi7Grid,V14,Northamerica,E7G_NA,E052N071T1,100000,5200000,7100000,1,X0052_Y0027
Equi7Grid,V14,Northamerica,E7G_NA,E052N070T1,100000,5200000,7000000,1,X0052_Y0028
Equi7Grid,V14,Northamerica,E7G_NA,E052N069T1,100000,5200000,6900000,1,X0052_Y0029
Equi7Grid,V14,Northamerica,E7G_NA,E052N068T1,100000,5200000,6800000,1,X0052_Y0030
Equi7Grid,V14,Northamerica,E7G_NA,E052N067T1,100000,5200000,6700000,1,X0052_Y0031
Equi7Grid,V14,Northamerica,E7G_NA,E053N080T1,100000,5300000,8000000,1,X0053_Y0018
Equi7Grid,V14,Northamerica,E7G_NA,E053N079T1,100000,5300000,7900000,1,X0053_Y0019
Equi7Grid,V14,Northamerica,E7G_NA,E053N078T1,100000,5300000,7800000,1,X0053_Y0020
Equi7Grid,V14,Northamerica,E7G_NA,E053N076T1,100000,5300000,7600000,1,X0053_Y0022
Equi7Grid,V14,Northamerica,E7G_NA,E053N075T1,100000,5300000,7500000,1,X0053_Y0023
Equi7Grid,V14,Northamerica,E7G_NA,E053N074T1,100000,5300000,7400000,1,X0053_Y0024
Equi7Grid,V14,Northamerica,E7G_NA,E053N073T1,100000,5300000,7300000,1,X0053_Y0025
Equi7Grid,V14,Northamerica,E7G_NA,E053N072T1,100000,5300000,7200000,1,X0053_Y0026
Equi7Grid,V14,Northamerica,E7G_NA,E053N071T1,100000,5300000,7100000,1,X0053_Y0027
Equi7Grid,V14,Northamerica,E7G_NA,E053N070T1,100000,5300000,7000000,1,X0053_Y0028
Equi7Grid,V14,Northamerica,E7G_NA,E053N069T1,100000,5300000,6900000,1,X0053_Y0029
Equi7Grid,V14,Northamerica,E7G_NA,E053N068T1,100000,5300000,6800000,1,X0053_Y0030
Equi7Grid,V14,Northamerica,E7G_NA,E053N067T1,100000,5300000,6700000,1,X0053_Y0031
Equi7Grid,V14,Northamerica,E7G_NA,E054N076T1,100000,5400000,7600000,1,X0054_Y0022
Equi7Grid,V14,Northamerica,E7G_NA,E054N075T1,100000,5400000,7500000,1,X0054_Y0023
Equi7Grid,V14,Northamerica,E7G_NA,E054N074T1,100000,5400000,7400000,1,X0054_Y0024
Equi7Grid,V14,Northamerica,E7G_NA,E054N073T1,100000,5400000,7300000,1,X0054_Y0025
Equi7Grid,V14,Northamerica,E7G_NA,E054N072T1,100000,5400000,7200000,1,X0054_Y0026
Equi7Grid,V14,Northamerica,E7G_NA,E054N071T1,100000,5400000,7100000,1,X0054_Y0027
Equi7Grid,V14,Northamerica,E7G_NA,E054N070T1,100000,5400000,7000000,1,X0054_Y0028
Equi7Grid,V14,Northamerica,E7G_NA,E054N069T1,100000,5400000,6900000,1,X0054_Y0029
Equi7Grid,V14,Northamerica,E7G_NA,E054N068T1,100000,5400000,6800000,1,X0054_Y0030
Equi7Grid,V14,Northamerica,E7G_NA,E055N080T1,100000,5500000,8000000,1,X0055_Y0018
Equi7Grid,V14,Northamerica,E7G_NA,E055N079T1,100000,5500000,7900000,1,X0055_Y0019
Equi7Grid,V14,Northamerica,E7G_NA,E055N078T1,100000,5500000,7800000,1,X0055_Y0020
