disease_agent,gideon_disease,region,pop
BACTERIUM,Rickettsialpox,Central America and Caribbean,1827785
BACTERIUM,Rickettsialpox,Europe,488077508
BACTERIUM,Rickettsialpox,North America,39693437
VIRUS,Rift Valley fever,rest of Asia,78030638
VIRUS,Rift Valley fever,China,26951152
VIRUS,Rift Valley fever,India,270041834
VIRUS,Rift Valley fever,Southeast Asia,159131682
VIRUS,Rift Valley fever,Africa,757976536
VIRUS,Rift Valley fever,Europe,361869521
BACTERIUM,Salmonellosis,rest of Asia,241835911
BACTERIUM,Salmonellosis,China,265557031
BACTERIUM,Salmonellosis,India,305776895
BACTERIUM,Salmonellosis,Southeast Asia,180045155
BACTERIUM,Salmonellosis,Africa,469906111
BACTERIUM,Salmonellosis,Central America and Caribbean,105087858
BACTERIUM,Salmonellosis,Europe,488025513
BACTERIUM,Salmonellosis,North America,175006092
PARASITE,Sarcocystosis,rest of Asia,273237910
PARASITE,Sarcocystosis,China,458991258
PARASITE,Sarcocystosis,India,226634038
PARASITE,Sarcocystosis,Southeast Asia,17170860
PARASITE,Sarcocystosis,Africa,77185518
PARASITE,Sarcocystosis,Europe,498106992
PARASITE,Sarcocystosis,North America,190593337
PARASITE,Schistosomiasis - japonicum,rest of Asia,77276672
PARASITE,Schistosomiasis - japonicum,India,269638944
PARASITE,Schistosomiasis - japonicum,Africa,465158619
PARASITE,Schistosomiasis - japonicum,Europe,357150979
PARASITE,Schistosomiasis - mansoni,rest of Asia,162374485
PARASITE,Schistosomiasis - mansoni,China,857293
PARASITE,Schistosomiasis - mansoni,India,269638944
PARASITE,Schistosomiasis - mansoni,Africa,607819476
PARASITE,Schistosomiasis - mansoni,South America,156447
PARASITE,Schistosomiasis - mansoni,Europe,478123644
VIRUS,Severe fever with thrombocytopenia syndrome,rest of Asia,89493076
VIRUS,Severe fever with thrombocytopenia syndrome,China,346725516
VIRUS,Severe fever with thrombocytopenia syndrome,Europe,196388801
BACTERIUM,Spotted fevers - New World,rest of Asia,77276713
BACTERIUM,Spotted fevers - New World,India,269638944
BACTERIUM,Spotted fevers - New World,Africa,465158619
BACTERIUM,Spotted fevers - New World,Central America and Caribbean,107391372
BACTERIUM,Spotted fevers - New World,South America,49528488
BACTERIUM,Spotted fevers - New World,Europe,357150979
BACTERIUM,Spotted fevers - New World,North America,214628718
BACTERIUM,Spotted fevers - Old World,rest of Asia,291356489
BACTERIUM,Spotted fevers - Old World,China,459269619
BACTERIUM,Spotted fevers - Old World,India,312177695
BACTERIUM,Spotted fevers - Old World,Southeast Asia,241958219
BACTERIUM,Spotted fevers - Old World,Africa,490206406
BACTERIUM,Spotted fevers - Old World,Central America and Caribbean,105087858
BACTERIUM,Spotted fevers - Old World,Europe,499408263
BACTERIUM,Spotted fevers - Old World,North America,210332961
PARASITE,Taeniasis,rest of Asia,272018046
PARASITE,Taeniasis,China,454792067
PARASITE,Taeniasis,India,311316773
PARASITE,Taeniasis,Southeast Asia,3868724
PARASITE,Taeniasis,Africa,481950791
PARASITE,Taeniasis,Europe,499408250
PARASITE,Taeniasis,North America,188845901
PARASITE,Thelaziasis,rest of Asia,271752244
PARASITE,Thelaziasis,China,454947804
PARASITE,Thelaziasis,India,207730314
PARASITE,Thelaziasis,Southeast Asia,4005360
PARASITE,Thelaziasis,Africa,77296735
PARASITE,Thelaziasis,Europe,498516657
PARASITE,Thelaziasis,North America,188845901
VIRUS,Tick-borne encephalitis,rest of Asia,282773637
VIRUS,Tick-borne encephalitis,China,454792067
VIRUS,Tick-borne encephalitis,India,311316773
VIRUS,Tick-borne encephalitis,Southeast Asia,3868724
VIRUS,Tick-borne encephalitis,Africa,481952598
VIRUS,Tick-borne encephalitis,Europe,499440310
VIRUS,Tick-borne encephalitis,North America,188845901
PARASITE,Toxocariasis,rest of Asia,300369455
PARASITE,Toxocariasis,China,459152161
PARASITE,Toxocariasis,India,311403977
PARASITE,Toxocariasis,Southeast Asia,63583994
PARASITE,Toxocariasis,Africa,164894312
PARASITE,Toxocariasis,Central America and Caribbean,107391372
PARASITE,Toxocariasis,South America,29643762
PARASITE,Toxocariasis,Europe,497562745
PARASITE,Toxocariasis,North America,216876515
PARASITE,Toxoplasmosis,rest of Asia,300706191
PARASITE,Toxoplasmosis,China,467044357
PARASITE,Toxoplasmosis,India,311982906
PARASITE,Toxoplasmosis,Southeast Asia,318022799
PARASITE,Toxoplasmosis,Africa,681240613
PARASITE,Toxoplasmosis,Oceania,16568081
PARASITE,Toxoplasmosis,Central America and Caribbean,114065505
PARASITE,Toxoplasmosis,South America,258389739
PARASITE,Toxoplasmosis,Europe,500550064
PARASITE,Toxoplasmosis,North America,218253909
PARASITE,Trichinosis,rest of Asia,293245777
PARASITE,Trichinosis,China,463342769
PARASITE,Trichinosis,India,311564128
PARASITE,Trichinosis,Southeast Asia,182429088
PARASITE,Trichinosis,Africa,481984384
PARASITE,Trichinosis,Central America and Caribbean,877176
PARASITE,Trichinosis,Europe,499685451
PARASITE,Trichinosis,North America,192352432
PARASITE,Trichostrongyliasis,rest of Asia,162544187
PARASITE,Trichostrongyliasis,China,264861506
PARASITE,Trichostrongyliasis,India,242422272
PARASITE,Trichostrongyliasis,Southeast Asia,172312147
PARASITE,Trichostrongyliasis,Africa,31171123
PARASITE,Trichostrongyliasis,Europe,437247701
PARASITE,Trypanosomiasis - American,rest of Asia,272029417
PARASITE,Trypanosomiasis - American,China,466553125
PARASITE,Trypanosomiasis - American,India,311445070
PARASITE,Trypanosomiasis - American,Southeast Asia,42992694
PARASITE,Trypanosomiasis - American,Africa,481950791
PARASITE,Trypanosomiasis - American,Central America and Caribbean,113889888
PARASITE,Trypanosomiasis - American,South America,259789526
PARASITE,Trypanosomiasis - American,Europe,499470489
PARASITE,Trypanosomiasis - American,North America,217583274
BACTERIUM,Tuberculosis,rest of Asia,178507740
BACTERIUM,Tuberculosis,China,423503056
BACTERIUM,Tuberculosis,India,278892631
BACTERIUM,Tuberculosis,Southeast Asia,247336277
BACTERIUM,Tuberculosis,Africa,316486668
BACTERIUM,Tuberculosis,Oceania,13656219
BACTERIUM,Tuberculosis,Central America and Caribbean,112869277
BACTERIUM,Tuberculosis,South America,100796735
BACTERIUM,Tuberculosis,Europe,460846718
BACTERIUM,Tuberculosis,North America,191965644
BACTERIUM,Tularemia,rest of Asia,290001705
BACTERIUM,Tularemia,China,466539635
BACTERIUM,Tularemia,India,311511860
BACTERIUM,Tularemia,Southeast Asia,247427077
BACTERIUM,Tularemia,Africa,612250316
BACTERIUM,Tularemia,Oceania,11979480
BACTERIUM,Tularemia,Central America and Caribbean,113451496
BACTERIUM,Tularemia,South America,59271596
BACTERIUM,Tularemia,Europe,499539395
BACTERIUM,Tularemia,North America,216795491
BACTERIUM,Typhus - endemic,rest of Asia,284891316
BACTERIUM,Typhus - endemic,China,450044182
BACTERIUM,Typhus - endemic,India,304284510
BACTERIUM,Typhus - endemic,Southeast Asia,244369692
BACTERIUM,Typhus - endemic,Africa,507509381
BACTERIUM,Typhus - endemic,Central America and Caribbean,99879349
BACTERIUM,Typhus - endemic,Europe,494276288
BACTERIUM,Typhus - endemic,North America,155113713
BACTERIUM,Typhus - scrub,rest of Asia,273404372
BACTERIUM,Typhus - scrub,China,448089904
BACTERIUM,Typhus - scrub,India,311499680
BACTERIUM,Typhus - scrub,Southeast Asia,242516118
BACTERIUM,Typhus - scrub,Africa,465158619
BACTERIUM,Typhus - scrub,Central America and Caribbean,105087858
BACTERIUM,Typhus - scrub,Europe,490080714
BACTERIUM,Typhus - scrub,North America,175005700
VIRUS,Vaccinia and cowpox,rest of Asia,233776485
VIRUS,Vaccinia and cowpox,China,354555026
VIRUS,Vaccinia and cowpox,India,287061985
VIRUS,Vaccinia and cowpox,Southeast Asia,338587
VIRUS,Vaccinia and cowpox,Africa,508983370
VIRUS,Vaccinia and cowpox,Central America and Caribbean,749
VIRUS,Vaccinia and cowpox,South America,35286287
VIRUS,Vaccinia and cowpox,Europe,496736388
VIRUS,Venezuelan equine encephalitis,rest of Asia,160811356
VIRUS,Venezuelan equine encephalitis,China,264861506
VIRUS,Venezuelan equine encephalitis,India,242422272
VIRUS,Venezuelan equine encephalitis,Southeast Asia,172312147
VIRUS,Venezuelan equine encephalitis,Africa,28659943
VIRUS,Venezuelan equine encephalitis,Central America and Caribbean,112869277
VIRUS,Venezuelan equine encephalitis,South America,103706188
VIRUS,Venezuelan equine encephalitis,Europe,141081915
VIRUS,Venezuelan equine encephalitis,North America,195075041
VIRUS,West Nile fever,rest of Asia,271947168
VIRUS,West Nile fever,China,466531106
VIRUS,West Nile fever,India,219397287
VIRUS,West Nile fever,Southeast Asia,101016124
VIRUS,West Nile fever,Africa,180638647
VIRUS,West Nile fever,Central America and Caribbean,138837115
VIRUS,West Nile fever,South America,50125706
VIRUS,West Nile fever,Europe,498321114
VIRUS,West Nile fever,North America,220351492
BACTERIUM,Yersiniosis,rest of Asia,198139181
BACTERIUM,Yersiniosis,China,397299917
BACTERIUM,Yersiniosis,India,250613148
BACTERIUM,Yersiniosis,Southeast Asia,180216308
BACTERIUM,Yersiniosis,Africa,361998687
BACTERIUM,Yersiniosis,Central America and Caribbean,113367680
BACTERIUM,Yersiniosis,South America,76796823
BACTERIUM,Yersiniosis,Europe,475313245
BACTERIUM,Yersiniosis,North America,212386720
